Date,Train Number,Train Name,Passenger Count,Freight (Tons),Revenue (INR),Punctuality (%),Distance Covered (KM),Station Origin,Station Destination
3/7/2024,35664,Train-35664,1081,984.587016,485775.7207,82.31,821,Station-14,Station-116
9/5/2020,49852,Train-49852,1301,1679.397528,763831.3609,93.78,892,Station-279,Station-155
11/29/2020,30045,Train-30045,1367,1978.463455,740661.9643,74.34,169,Station-455,Station-300
6/11/2021,16060,Train-16060,1146,1808.528196,755591.202,99.55,600,Station-480,Station-184
9/20/2024,50495,Train-50495,258,1901.176846,915820.5047,80.36,851,Station-112,Station-9
4/30/2024,28800,Train-28800,1566,631.0713194,711694.129,92.11,1540,Station-160,Station-421
7/7/2023,51067,Train-51067,847,751.5021579,606541.0625,88.8,1862,Station-427,Station-204
1/3/2020,65596,Train-65596,1849,1544.859486,660394.6087,95.47,1062,Station-495,Station-137
6/16/2024,34545,Train-34545,1906,1201.489307,107692.2684,79.95,549,Station-218,Station-192
3/13/2023,81145,Train-81145,1323,196.64014,481381.5515,88.87,1528,Station-67,Station-493
5/8/2021,89642,Train-89642,371,1685.922146,694453.6105,70.75,219,Station-182,Station-408
8/13/2022,64545,Train-64545,1485,1735.175506,802454.5091,70.13,737,Station-83,Station-357
1/7/2024,10714,Train-10714,1979,26.3822147,391461.5661,96.61,1122,Station-66,Station-355
7/4/2024,33535,Train-33535,1815,704.5491784,505308.5065,87.13,388,Station-382,Station-95
10/19/2021,53328,Train-53328,1785,594.5804805,884520.6361,94.99,190,Station-356,Station-134
7/27/2023,81939,Train-81939,1852,1756.016592,917388.6504,82.92,326,Station-500,Station-200
10/17/2023,57406,Train-57406,1001,1367.354734,575718.1889,91.14,1863,Station-494,Station-355
3/12/2021,68347,Train-68347,1491,946.5248129,361613.3025,86.95,1539,Station-446,Station-363
6/18/2024,44036,Train-44036,1733,4.296337672,558524.7518,81.26,659,Station-289,Station-192
10/9/2020,27749,Train-27749,1088,1300.39826,593219.1353,94.55,699,Station-386,Station-5
4/8/2020,32631,Train-32631,801,381.7580339,56875.37004,80.76,191,Station-177,Station-394
3/16/2023,29842,Train-29842,606,1422.074904,856414.7546,97,331,Station-55,Station-196
2/7/2024,48160,Train-48160,879,1041.116484,354910.3714,96.77,563,Station-25,Station-301
2/12/2024,61201,Train-61201,558,1854.195957,995635.0792,78.09,127,Station-330,Station-138
8/22/2021,37549,Train-37549,1458,1531.875931,529307.789,97.54,1456,Station-2,Station-68
11/13/2021,69992,Train-69992,1240,312.65344,838923.6023,99.16,501,Station-286,Station-192
6/15/2024,38904,Train-38904,1896,288.5908057,429386.2968,86.14,390,Station-209,Station-18
10/22/2022,15587,Train-15587,1345,57.35462304,725222.7264,78.8,1593,Station-492,Station-183
